name,categoryId,imageURL,description
Acoustic Axial Flow Fan Box,0,https://picsum.photos/512,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Acoustic L Flow High Temperature Fan Box,0,https://picsum.photos/513,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Acoustic Short Case Side Discharge Fan Box,0,https://picsum.photos/514,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Axial Fans,0,https://picsum.photos/515,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
GBW 560/4-1 PH Giga Box Fan - HELIOS /,0,https://picsum.photos/516,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
GBW 500/4-1 PH Giga Box Fan - HELIOS ,0,https://picsum.photos/517,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
56JM/​16/​4/​5/​32/​1PH LONG CASED AXIAL ,0,https://picsum.photos/518,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
50JM/​20/​4/​6/​20/​1PH LONG CASED AXIAL FLOW EXTRACT FAN BY FLAKT WOODS,0,https://picsum.photos/519,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Fan Flangees,1,https://picsum.photos/520,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Mounting Feet,1,https://picsum.photos/521,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
KSE - Anti Vibration Mounts,1,https://picsum.photos/522,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Controllers,1,https://picsum.photos/523,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Strut Foot H Frame,1,https://picsum.photos/524,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Electrostatic Air Cleaner,2,https://picsum.photos/525,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
UV Lights,2,https://picsum.photos/526,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
3 Meter Spiral,3,https://picsum.photos/527,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
90 Bends,3,https://picsum.photos/528,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
45 Bends,3,https://picsum.photos/529,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Bird Beaks,3,https://picsum.photos/530,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
MAle Couplers,3,https://picsum.photos/531,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Female Couplers,3,https://picsum.photos/532,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Reducers,3,https://picsum.photos/533,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Pressed Saddles,3,https://picsum.photos/534,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Flange Spigots,3,https://picsum.photos/535,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Flat Shoe,3,https://picsum.photos/536,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Equal Tee Pieces,3,https://picsum.photos/537,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Dampers - Single Blade,3,https://picsum.photos/538,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Weather Cowls,3,https://picsum.photos/539,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Curved Boots,3,https://picsum.photos/540,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Y Bends,3,https://picsum.photos/541,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Non-return Dampers,3,https://picsum.photos/542,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Mesh End Cap,3,https://picsum.photos/543,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
End Cap,3,https://picsum.photos/544,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Jet Cowls,3,https://picsum.photos/545,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Suspension Ring,4,https://picsum.photos/546,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Split Ring,4,https://picsum.photos/547,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Base Plate,4,https://picsum.photos/548,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Rivets,4,https://picsum.photos/549,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Square Head - Self Tapping Screws,4,https://picsum.photos/550,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Wood Screws,4,https://picsum.photos/551,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Anchor,4,https://picsum.photos/552,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Channel Nuts,4,https://picsum.photos/553,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Wedge Nut,4,https://picsum.photos/554,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Clamps,4,https://picsum.photos/555,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
"Washer, Bolts & Nuts",4,https://picsum.photos/556,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Channel End Caps,4,https://picsum.photos/557,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Platewashers,4,https://picsum.photos/558,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Slotted Channels,4,https://picsum.photos/559,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Cantilever Arms,4,https://picsum.photos/560,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
3M Rods,4,https://picsum.photos/561,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Cutting Discs,4,https://picsum.photos/562,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Combi Flexible Ducting,5,https://picsum.photos/563,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Insulated Flexible Ducting,5,https://picsum.photos/564,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Non-Insulated Flexible Ducting,5,https://picsum.photos/565,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Pleated Filters,6,https://picsum.photos/566,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Glass Fibre Filter,6,https://picsum.photos/567,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
Filter Boxes,6,https://picsum.photos/568,"Bostik duct sealant is a high performance, water-based sealant that is designed to provide a permanent, flexible seal for ductwork and other HVAC components. The sealant is easy to apply and cures quickly to form a durable, airtight seal that is resistant to water, chemicals, and UV radiation. It is suitable for use on a wide range of materials, including metal, plastic, and fiberglass, and is ideal for sealing joints, seams, and penetrations in ductwork, as well as for sealing around duct boots, registers, and other HVAC components."
